PIDM,TERM_CODE,STUDENT_LEVEL,DEGREE_CODE_1,DEGREE_DESC_1,COLLEGE_CODE_1,COLLEGE_DESC_1,DEPT_CODE_1,DEPT_DESC_1,MAJOR_CODE_1,MAJOR_DESC_1,DEGREE_CODE_2,DEGREE_DESC_2,DEPT_CODE_2,DEPT_DESC_2,COLLEGE_CODE_2,COLLEGE_DESC_2,MAJOR_CODE_2,MAJOR_DESC_2
864932,202150,GR,MSW,Master of Social Work,HS,College of Health and Applied Science,SWK,Social Work,SWMO,Social Work - MSW,BS,Bachelor of Science,SWK,Social Work,PS,College of Health and Applied Science,SWK,Social Work
878884,202150,GR,MS,Master of Science,HS,College of Health and Applied Science,CJC,Criminal Justice & Criminology,CYBM,Cybersecurity - MS,MS,Master of Science,CJC,Criminal Justice & Criminology,HS,College of Health and Applied Science,CYBM,Cybersecurity - MS
880679,202150,UG,BA,Bachelor of Arts,HS,College of Health and Applied Science,SLHS,"Speech, Language, Hearing Sci",SLH,Speech Lang & Hearing Science,CERT,Certificate Program,MDL,Modern Languages,LA,College Letters Arts Sciences,CST,Certificate-Span Transltn Prog
890889,202150,GR,MS,Master of Science,HS,College of Health and Applied Science,NUT,Nutrition,NUTM,Human Nutrition & Dietetics-MS,GCERT,Graduate Certificate Program,NUT,Nutrition,HS,College of Health and Applied Science,CNDI,Certificate-DieteticInternship
898725,202150,GR,MHA,Master of Health Admin,HS,College of Health and Applied Science,HEP,Health Professions,HCMM,Health Administration,CERT,Certificate Program,HEP,Health Professions,PS,College of Health and Applied Science,CASL,Certificate-Aging Services Ldr
903187,202150,UG,BA,Bachelor of Arts,LA,College Letters Arts Sciences,BIO,Biology,BIO,Biology,BS,Bachelor of Science,BIO,Biology,LA,College Letters Arts Sciences,BIO,Biology
917918,202150,UG,BA,Bachelor of Arts,LA,College Letters Arts Sciences,MDL,Modern Languages,MDL,Modern Languages,CERT,Certificate Program,MDL,Modern Languages,LA,College Letters Arts Sciences,CST,Certificate-Span Transltn Prog
921646,202150,UG,UNDD,Undeclared Degree,LA,College Letters Arts Sciences,IDP,Individual Degree Program All,UNID,Undeclared IDP,CERT,Certificate Program,HTL,DimondDeptHotelMgmt,SH,School of Hospitality,CTRC,Certificate-Travel Consultant
925967,202150,GR,MSW,Master of Social Work,HS,College of Health and Applied Science,SWK,Social Work,SWMO,Social Work - MSW,BA,Bachelor of Arts,PSY,Psychology,LA,College Letters Arts Sciences,HDV,Human Development
928655,202150,GR,MSW,Master of Social Work,HS,College of Health and Applied Science,SWK,Social Work,SWMO,Social Work - MSW,BS,Bachelor of Science,SWK,Social Work,PS,College of Health and Applied Science,SWKO,Social Work
928946,202150,GR,MSW,Master of Social Work,HS,College of Health and Applied Science,SWK,Social Work,SWMO,Social Work - MSW,BS,Bachelor of Science,SWK,Social Work,HS,College of Health and Applied Science,SWK,Social Work
929836,202150,GR,MSW,Master of Social Work,PS,College of Health and Applied Science,SWK,Social Work,SWKM,Social Work - MSW,BS,Bachelor of Science,SWK,Social Work,LA,College Letters Arts Sciences,SWK,Social Work
933473,202150,UG,BS,Bachelor of Science,HS,College of Health and Applied Science,AVS,Aviation & Aerospace Science,AAM,Aviation & Aerospace Mgt,CERT,Certificate Program,AVS,Aviation & Aerospace Science,HS,College of Health and Applied Science,CSC,Certificate-Space Commercltzn
935074,202150,GR,MSW,Master of Social Work,HS,College of Health and Applied Science,SWK,Social Work,SWKM,Social Work - MSW,BS,Bachelor of Science,SWK,Social Work,PS,College of Health and Applied Science,SWK,Social Work
935101,202150,UG,BS,Bachelor of Science,BU,College of Business,ACC,Accounting,ACC,Accounting,MPACC,Master of Prof Accountancy,ACC,Accounting,BU,College of Business,ACCM,Professional Accountancy
936141,202150,UG,BS,Bachelor of Science,HS,College of Health and Applied Science,EAET,Engineering & Engineering Tech,MET,Mechanical Engineering Tech,CERT,Certificate Program,EAET,Engineering & Engineering Tech,HS,College of Health and Applied Science,CAME,Certificate-AdditiveMfgEngneer
937288,202150,UG,BS,Bachelor of Science,HS,College of Health and Applied Science,HEP,Health Professions,HCPS,Health Care Professional Srvcs,CERT,Certificate Program,MKT,Marketing,BU,College of Business,CDM,Certificate-Digital Marketing
938023,202150,GR,MSW,Master of Social Work,HS,College of Health and Applied Science,SWK,Social Work,SWKM,Social Work - MSW,BS,Bachelor of Science,HSC,Human Services and Counseling,PS,College of Health and Applied Science,HSP,Human Services
939536,202150,GR,MHA,Master of Health Admin,HS,College of Health and Applied Science,HEP,Health Professions,HCMM,Health Administration,BS,Bachelor of Science,HEP,Health Professions,PS,College of Health and Applied Science,HCPS,Health Care Professional Srvcs
941061,202150,UG,BS,Bachelor of Science,BU,College of Business,MKT,Marketing,MKT,Marketing,CERT,Certificate Program,MKT,Marketing,BU,College of Business,CDM,Certificate-Digital Marketing
942141,202150,GR,MSW,Master of Social Work,HS,College of Health and Applied Science,SWK,Social Work,SWKM,Social Work - MSW,BA,Bachelor of Arts,MDL,Modern Languages,LA,College Letters Arts Sciences,MDL,Modern Languages
944789,202150,UG,BS,Bachelor of Science,BU,College of Business,MKT,Marketing,MKT,Marketing,CERT,Certificate Program,MKT,Marketing,BU,College of Business,CDM,Certificate-Digital Marketing
946337,202150,UG,BS,Bachelor of Science,BU,College of Business,ACC,Accounting,ACC,Accounting,MPACC,Master of Prof Accountancy,ACC,Accounting,BU,College of Business,ACCM,Professional Accountancy
946416,202150,UG,BS,Bachelor of Science,HS,College of Health and Applied Science,EAET,Engineering & Engineering Tech,MET,Mechanical Engineering Tech,CERT,Certificate Program,EAET,Engineering & Engineering Tech,HS,College of Health and Applied Science,CAME,Certificate-AdditiveMfgEngneer
948427,202150,UG,BS,Bachelor of Science,BU,College of Business,MKT,Marketing,MKT,Marketing,CERT,Certificate Program,MKT,Marketing,BU,College of Business,CDM,Certificate-Digital Marketing
949112,202150,UG,BS,Bachelor of Science,BU,College of Business,MKT,Marketing,MKT,Marketing,CERT,Certificate Program,MKT,Marketing,BU,College of Business,CSA,Certificate - Sales
953874,202150,UG,BS,Bachelor of Science,LA,College Letters Arts Sciences,BIO,Biology,BIO,Biology,BA,Bachelor of Arts,PSC,Political Science,LA,College Letters Arts Sciences,PSC,Political Science
956782,202150,UG,BA,Bachelor of Arts,HS,College of Health and Applied Science,HPS,Human Performance and Sport,HPS,Human Performance & Sport,BS,Bachelor of Science,MGT,Management,BU,College of Business,MGT,Management
958531,202150,UG,BA,Bachelor of Arts,ED,School of Education,TED1,Elementary Education &Literacy,EDU,Elementary Education,CERT,Certificate Program,TED2,"Spec, ErlyChld, CultLingDiv Ed",ED,School of Education,PCLD,PCert-BilingEdSpecSchlEducator
958928,202150,UG,BS,Bachelor of Science,HS,College of Health and Applied Science,AVS,Aviation & Aerospace Science,ASC,Aviation and Aerospace Science,BA,Bachelor of Arts,ENG,English,LA,College Letters Arts Sciences,ENG,English
961629,202150,UG,BA,Bachelor of Arts,LA,College Letters Arts Sciences,SOAN,Sociology and Anthropology,SOC,Sociology,BS,Bachelor of Science,MKT,Marketing,BU,College of Business,MKT,Marketing
964753,202150,UG,BS,Bachelor of Science,BU,College of Business,MKT,Marketing,MKT,Marketing,CERT,Certificate Program,MKT,Marketing,BU,College of Business,CSA,Certificate - Sales
967305,202150,UG,BS,Bachelor of Science,HS,College of Health and Applied Science,SWK,Social Work,UNSW,Undeclared Social Work,CERT,Certificate Program,MDL,Modern Languages,LA,College Letters Arts Sciences,CST,Certificate-Span Transltn Prog
968397,202150,UG,BA,Bachelor of Arts,LA,College Letters Arts Sciences,ART,Art,ART,Art,UNDD,Undeclared Degree,IDP,Individual Degree Program All,LA,College Letters Arts Sciences,UNID,Undeclared IDP
970157,202150,UG,BS,Bachelor of Science,HS,College of Health and Applied Science,AVS,Aviation & Aerospace Science,ASC,Aviation and Aerospace Science,CERT,Certificate Program,AVS,Aviation & Aerospace Science,HS,College of Health and Applied Science,CAMG,Certificate-Airport Management
972740,202150,GR,MAT,Master of Teaching,ED,School of Education,TED2,"Spec, ErlyChld, CultLingDiv Ed",TEDM,Teacher Education - MAT,GCERT,Graduate Certificate Program,TED2,"Spec, ErlyChld, CultLingDiv Ed",ED,School of Education,CASS,Certificate-Autsm&SgnftSupNeed
973149,202150,UG,BS,Bachelor of Science,HS,College of Health and Applied Science,AMSI,Ad. Manufng. Sci. Inst.,AMS,Advncd Manufacturing Sciences,CERT,Certificate Program,EAET,Engineering & Engineering Tech,HS,College of Health and Applied Science,CAME,Certificate-AdditiveMfgEngneer
973620,202150,GR,MS,Master of Science,HS,College of Health and Applied Science,NUT,Nutrition,NUTM,Human Nutrition & Dietetics-MS,BS,Bachelor of Science,NUT,Nutrition,PS,College of Health and Applied Science,HND,Human Nutrition - Dietetics
974056,202150,UG,BME,Bachelor of Music Education,LA,College Letters Arts Sciences,MUS,Music,MED,Music Education,BM,Bachelor of Music,MUS,Music,LA,College Letters Arts Sciences,MUS,Music
974205,202150,UG,BS,Bachelor of Science,PS,College of Health and Applied Science,CJC,Criminal Justice & Criminology,CJC,Criminal Justice & Criminology,BA,Bachelor of Arts,PSYC,Psychological Sciences,LA,College Letters Arts Sciences,PSY,Psychology
974341,202150,UG,BS,Bachelor of Science,HS,College of Health and Applied Science,HSC,Human Services and Counseling,HSP,Human Services,BA,Bachelor of Arts,MDL,Modern Languages,LA,College Letters Arts Sciences,MDL,Modern Languages
974544,202150,UG,BS,Bachelor of Science,PS,College of Health and Applied Science,EAET,Engineering & Engineering Tech,MET,Mechanical Engineering Tech,CERT,Certificate Program,EAET,Engineering & Engineering Tech,HS,College of Health and Applied Science,CAME,Certificate-AdditiveMfgEngneer
977305,202150,GR,MPACC,Master of Prof Accountancy,BU,College of Business,ACC,Accounting,ACCM,Professional Accountancy,MPACC,Master of Prof Accountancy,ACC,Accounting,BU,College of Business,ACCM,Professional Accountancy
978110,202150,GR,MPACC,Master of Prof Accountancy,BU,College of Business,ACC,Accounting,ACCM,Professional Accountancy,BS,Bachelor of Science,ACC,Accounting,BU,College of Business,ACC,Accounting
982432,202150,GR,MPACC,Master of Prof Accountancy,BU,College of Business,ACC,Accounting,ACCM,Professional Accountancy,BS,Bachelor of Science,MGT,Management,BU,College of Business,MGT,Management
982594,202150,UG,BS,Bachelor of Science,HS,College of Health and Applied Science,EAET,Engineering & Engineering Tech,MET,Mechanical Engineering Tech,CERT,Certificate Program,EAET,Engineering & Engineering Tech,HS,College of Health and Applied Science,CAME,Certificate-AdditiveMfgEngneer
984078,202150,UG,BA,Bachelor of Arts,LA,College Letters Arts Sciences,COMM,Communication Studies,COMS,Communication Studies,BS,Bachelor of Science,CIS,ComputerInfoSystm&BusAnalytics,BU,College of Business,CIN,Computer Information Systems
985249,202150,GR,MPACC,Master of Prof Accountancy,BU,College of Business,ACC,Accounting,ACCM,Professional Accountancy,BS,Bachelor of Science,ACC,Accounting,BU,College of Business,ACC,Accounting
987016,202150,GR,MSW,Master of Social Work,HS,College of Health and Applied Science,SWK,Social Work,SWKM,Social Work - MSW,BS,Bachelor of Science,SWK,Social Work,LA,College Letters Arts Sciences,SWK,Social Work
988049,202150,GR,MHA,Master of Health Admin,HS,College of Health and Applied Science,HEP,Health Professions,HCMM,Health Administration,BS,Bachelor of Science,HEP,Health Professions,PS,College of Health and Applied Science,HCM,Health Care Management
989257,202150,UG,BA,Bachelor of Arts,LA,College Letters Arts Sciences,HIS,History,HIS,History,BS,Bachelor of Science,CIS,ComputerInfoSystm&BusAnalytics,BU,College of Business,CIN,Computer Information Systems
989499,202150,GR,MHA,Master of Health Admin,HS,College of Health and Applied Science,HEP,Health Professions,HCMM,Health Administration,BA,Bachelor of Arts,PSYC,Psychological Sciences,LA,College Letters Arts Sciences,PSY,Psychology
989864,202150,UG,BS,Bachelor of Science,HS,College of Health and Applied Science,AVS,Aviation & Aerospace Science,ASC,Aviation and Aerospace Science,CERT,Certificate Program,AVS,Aviation & Aerospace Science,HS,College of Health and Applied Science,CAMG,Certificate-Airport Management
991791,202150,UG,BS,Bachelor of Science,LA,College Letters Arts Sciences,PSYC,Psychological Sciences,PSYC,Psychology,BA,Bachelor of Arts,PHI,Philosophy,LA,College Letters Arts Sciences,PHI,Philosophy
992257,202150,GR,MHA,Master of Health Admin,HS,College of Health and Applied Science,HEP,Health Professions,HCMM,Health Administration,BS,Bachelor of Science,HEP,Health Professions,PS,College of Health and Applied Science,HCPS,Health Care Professional Srvcs
992826,202150,UG,BA,Bachelor of Arts,LA,College Letters Arts Sciences,MDL,Modern Languages,MDL,Modern Languages,CERT,Certificate Program,MDL,Modern Languages,LA,College Letters Arts Sciences,CST,Certificate-Span Transltn Prog
994414,202150,UG,BS,Bachelor of Science,HS,College of Health and Applied Science,AVS,Aviation & Aerospace Science,ASC,Aviation and Aerospace Science,CERT,Certificate Program,AVS,Aviation & Aerospace Science,HS,College of Health and Applied Science,CAMG,Certificate-Airport Management
995661,202150,UG,BS,Bachelor of Science,HS,College of Health and Applied Science,CJC,Criminal Justice & Criminology,CYB,Cybersecurity,CERT,Certificate Program,MDL,Modern Languages,LA,College Letters Arts Sciences,CST,Certificate-Span Transltn Prog
996669,202150,UG,BS,Bachelor of Science,HS,College of Health and Applied Science,EAET,Engineering & Engineering Tech,MET,Mechanical Engineering Tech,CERT,Certificate Program,EAET,Engineering & Engineering Tech,HS,College of Health and Applied Science,CAME,Certificate-AdditiveMfgEngneer
998379,202150,UG,BA,Bachelor of Arts,LA,College Letters Arts Sciences,MDL,Modern Languages,MDL,Modern Languages,CERT,Certificate Program,MDL,Modern Languages,LA,College Letters Arts Sciences,CST,Certificate-Span Transltn Prog
998607,202150,UG,BM,Bachelor of Music,LA,College Letters Arts Sciences,MUS,Music,MUS,Music,BME,Bachelor of Music Education,MUS,Music,LA,College Letters Arts Sciences,MED,Music Education
998986,202150,GR,MAT,Master of Teaching,ED,School of Education,TED2,"Spec, ErlyChld, CultLingDiv Ed",TEDM,Teacher Education - MAT,CERT,Certificate Program,HSC,Human Services and Counseling,PS,College of Health and Applied Science,CHY,Certificate-High Risk Youth
999405,202150,UG,BA,Bachelor of Arts,LA,College Letters Arts Sciences,PSC,Political Science,PSC,Political Science,UNDD,Undeclared Degree,IDP,Individual Degree Program All,LA,College Letters Arts Sciences,UNID,Undeclared IDP
1001526,202150,UG,BS,Bachelor of Science,HS,College of Health and Applied Science,HPS,Human Performance and Sport,EXS,Exercise Science,BA,Bachelor of Arts,BIO,Biology,LA,College Letters Arts Sciences,BIO,Biology
1002117,202150,UG,BS,Bachelor of Science,BU,College of Business,MKT,Marketing,MKT,Marketing,CERT,Certificate Program,MKT,Marketing,BU,College of Business,CSA,Certificate - Sales
1005180,202150,GR,MS,Master of Science,HS,College of Health and Applied Science,NUT,Nutrition,NUTM,Human Nutrition & Dietetics-MS,BS,Bachelor of Science,NUT,Nutrition,PS,College of Health and Applied Science,HND,Human Nutrition - Dietetics
1005354,202150,GR,MSW,Master of Social Work,HS,College of Health and Applied Science,SWK,Social Work,SWMO,Social Work - MSW,BS,Bachelor of Science,SWK,Social Work,PS,College of Health and Applied Science,SWKO,Social Work
1008327,202150,UG,BS,Bachelor of Science,HS,College of Health and Applied Science,CJC,Criminal Justice & Criminology,CJC,Criminal Justice & Criminology,CERT,Certificate Program,MGT,Management,BU,College of Business,PCEP,PCert-Entrepreneurship
1008521,202150,GR,MAT,Master of Teaching,ED,School of Education,TED2,"Spec, ErlyChld, CultLingDiv Ed",TEDM,Teacher Education - MAT,GCERT,Graduate Certificate Program,TED2,"Spec, ErlyChld, CultLingDiv Ed",ED,School of Education,CASS,Certificate-Autsm&SgnftSupNeed
1009326,202150,UG,BS,Bachelor of Science,HS,College of Health and Applied Science,HEP,Health Professions,IHC,Integrative Health Care,CERT,Certificate Program,HSC,Human Services and Counseling,HS,College of Health and Applied Science,PCNP,PCert-Nonprofit Studies
1010744,202150,UG,BS,Bachelor of Science,LA,College Letters Arts Sciences,BIO,Biology,BIO,Biology,CERT,Certificate Program,MDL,Modern Languages,LA,College Letters Arts Sciences,CST,Certificate-Span Transltn Prog
1011788,202150,UG,BS,Bachelor of Science,BU,College of Business,MKT,Marketing,MKT,Marketing,CERT,Certificate Program,MKT,Marketing,BU,College of Business,CSA,Certificate - Sales
1011873,202150,UG,BS,Bachelor of Science,HS,College of Health and Applied Science,EAET,Engineering & Engineering Tech,MET,Mechanical Engineering Tech,CERT,Certificate Program,EAET,Engineering & Engineering Tech,PS,College of Health and Applied Science,CAME,Certificate-AdditiveMfgEngneer
1012194,202150,UG,BS,Bachelor of Science,HS,College of Health and Applied Science,EAET,Engineering & Engineering Tech,MET,Mechanical Engineering Tech,CERT,Certificate Program,EAET,Engineering & Engineering Tech,HS,College of Health and Applied Science,CAMM,Certificate-AdvCompMatrls&Mfg
1012242,202150,UG,BS,Bachelor of Science,BU,College of Business,MKT,Marketing,MKT,Marketing,CERT,Certificate Program,MKT,Marketing,BU,College of Business,CDM,Certificate-Digital Marketing
1012587,202150,GR,MSW,Master of Social Work,HS,College of Health and Applied Science,SWK,Social Work,SWKM,Social Work - MSW,BS,Bachelor of Science,SWK,Social Work,PS,College of Health and Applied Science,SWK,Social Work
1014286,202150,UG,BS,Bachelor of Science,HS,College of Health and Applied Science,EAET,Engineering & Engineering Tech,MET,Mechanical Engineering Tech,CERT,Certificate Program,EAET,Engineering & Engineering Tech,HS,College of Health and Applied Science,CAME,Certificate-AdditiveMfgEngneer
1014936,202150,GR,MS,Master of Science,HS,College of Health and Applied Science,CJC,Criminal Justice & Criminology,CYBM,Cybersecurity - MS,MS,Master of Science,CJC,Criminal Justice & Criminology,HS,College of Health and Applied Science,CYBM,Cybersecurity - MS
1017004,202150,UG,BA,Bachelor of Arts,LA,College Letters Arts Sciences,MDL,Modern Languages,MDL,Modern Languages,CERT,Certificate Program,MDL,Modern Languages,LA,College Letters Arts Sciences,CST,Certificate-Span Transltn Prog
1017387,202150,GR,MS,Master of Science,HS,College of Health and Applied Science,NUT,Nutrition,NUTM,Human Nutrition & Dietetics-MS,GCERT,Graduate Certificate Program,NUT,Nutrition,HS,College of Health and Applied Science,CISP,Certificate-Indiv Suprvsd Prac
1018566,202150,UG,BS,Bachelor of Science,LA,College Letters Arts Sciences,PSYC,Psychological Sciences,PSYC,Psychology,BA,Bachelor of Arts,PHI,Philosophy,LA,College Letters Arts Sciences,PHI,Philosophy
1018640,202150,GR,MSW,Master of Social Work,HS,College of Health and Applied Science,SWK,Social Work,SWKM,Social Work - MSW,BS,Bachelor of Science,SWK,Social Work,PS,College of Health and Applied Science,SWK,Social Work
1019011,202150,GR,MPACC,Master of Prof Accountancy,BU,College of Business,ACC,Accounting,ACCM,Professional Accountancy,BS,Bachelor of Science,ACC,Accounting,BU,College of Business,ACC,Accounting
1019210,202150,UG,UNDD,Undeclared Degree,LA,College Letters Arts Sciences,UND,Undeclared,UND,Undeclared,CERT,Certificate Program,HSC,Human Services and Counseling,HS,College of Health and Applied Science,CNPS,Certificate-Nonprofit Studies
1020813,202150,UG,BS,Bachelor of Science,LA,College Letters Arts Sciences,BIO,Biology,BIO,Biology,UNDD,Undeclared Degree,IDP,Individual Degree Program All,LA,College Letters Arts Sciences,UNID,Undeclared IDP
1020827,202150,UG,BS,Bachelor of Science,SH,School of Hospitality,HTL,DimondDeptHotelMgmt,TTM,Travel and Tourism Management,BA,Bachelor of Arts,ENG,English,LA,College Letters Arts Sciences,ENG,English
1020869,202150,UG,BS,Bachelor of Science,HS,College of Health and Applied Science,CS,Computer Sciences,CS,Computer Science,BS,Bachelor of Science,CS,Computer Sciences,HS,College of Health and Applied Science,CS,Computer Science
1021407,202150,GR,MSW,Master of Social Work,HS,College of Health and Applied Science,SWK,Social Work,SWKM,Social Work - MSW,BS,Bachelor of Science,IDPP,Collg of Professional Std IDP,PS,College of Health and Applied Science,IDP,Individualized Degree Program
1021808,202150,GR,MSW,Master of Social Work,HS,College of Health and Applied Science,SWK,Social Work,SWKM,Social Work - MSW,BA,Bachelor of Arts,SOAN,Sociology and Anthropology,LA,College Letters Arts Sciences,SOC,Sociology
1022699,202150,UG,BA,Bachelor of Arts,LA,College Letters Arts Sciences,CHS,Chicana/o Studies,CHS,Chicano Studies,CERT,Certificate Program,MDL,Modern Languages,LA,College Letters Arts Sciences,CST,Certificate-Span Transltn Prog
1023466,202150,UG,BA,Bachelor of Arts,LA,College Letters Arts Sciences,EAS,Earth and Atmospheric Sciences,GEG,Geography,CERT,Certificate Program,EAS,Earth and Atmospheric Sciences,LA,College Letters Arts Sciences,CGIS,Certificate-Geographic Info Sy
1023483,202150,GR,MS,Master of Science,HS,College of Health and Applied Science,NUT,Nutrition,NUTM,Human Nutrition & Dietetics-MS,BS,Bachelor of Science,BIO,Biology,LA,College Letters Arts Sciences,BIO,Biology
1023755,202150,GR,MSW,Master of Social Work,HS,College of Health and Applied Science,SWK,Social Work,SWMO,Social Work - MSW,BS,Bachelor of Science,SWK,Social Work,PS,College of Health and Applied Science,SWKO,Social Work
1024291,202150,UG,BA,Bachelor of Arts,LA,College Letters Arts Sciences,EAS,Earth and Atmospheric Sciences,GEG,Geography,CERT,Certificate Program,EAS,Earth and Atmospheric Sciences,LA,College Letters Arts Sciences,CGIS,Certificate-Geographic Info Sy
1024597,202150,UG,BS,Bachelor of Science,HS,College of Health and Applied Science,AVS,Aviation & Aerospace Science,AAM,Aviation & Aerospace Mgt,CERT,Certificate Program,AVS,Aviation & Aerospace Science,HS,College of Health and Applied Science,CAMG,Certificate-Airport Management
1025173,202150,GR,MSW,Master of Social Work,HS,College of Health and Applied Science,SWK,Social Work,SWKM,Social Work - MSW,BS,Bachelor of Science,SWK,Social Work,PS,College of Health and Applied Science,SWK,Social Work
1026772,202150,UG,BS,Bachelor of Science,BU,College of Business,MKT,Marketing,MKT,Marketing,CERT,Certificate Program,MKT,Marketing,BU,College of Business,CSA,Certificate - Sales
1027218,202150,UG,BA,Bachelor of Arts,LA,College Letters Arts Sciences,PSC,Political Science,PSC,Political Science,BS,Bachelor of Science,CJC,Criminal Justice & Criminology,HS,College of Health and Applied Science,CJC,Criminal Justice & Criminology
1027255,202150,UG,BS,Bachelor of Science,HS,College of Health and Applied Science,EAET,Engineering & Engineering Tech,MET,Mechanical Engineering Tech,CERT,Certificate Program,EET,Electrical Engineering Tech,PS,College of Health and Applied Science,MET,Mechanical Engineering Tech
1034488,202150,UG,BS,Bachelor of Science,BU,College of Business,MKT,Marketing,MKT,Marketing,CERT,Certificate Program,MKT,Marketing,BU,College of Business,CDM,Certificate-Digital Marketing
1035882,202150,GR,MSW,Master of Social Work,HS,College of Health and Applied Science,SWK,Social Work,SWKM,Social Work - MSW,BS,Bachelor of Science,SWK,Social Work,LA,College Letters Arts Sciences,SWK,Social Work
1036197,202150,UG,BS,Bachelor of Science,BU,College of Business,MKT,Marketing,MKT,Marketing,CERT,Certificate Program,MKT,Marketing,BU,College of Business,CDM,Certificate-Digital Marketing
1038129,202150,UG,BS,Bachelor of Science,HS,College of Health and Applied Science,IDPA,Collg of Hlth & Applied Sc IDP,IDP,Individualized Degree Program,CERT,Certificate Program,AVS,Aviation & Aerospace Science,HS,College of Health and Applied Science,CSC,Certificate-Space Commercltzn
1038619,202150,UG,BS,Bachelor of Science,BU,College of Business,MKT,Marketing,MKT,Marketing,CERT,Certificate Program,MKT,Marketing,BU,College of Business,CSA,Certificate - Sales
1038637,202150,UG,BS,Bachelor of Science,BU,College of Business,MKT,Marketing,MKT,Marketing,CERT,Certificate Program,MKT,Marketing,BU,College of Business,CDM,Certificate-Digital Marketing
1038656,202150,UG,BS,Bachelor of Science,LA,College Letters Arts Sciences,PSYC,Psychological Sciences,PSYC,Psychology,BA,Bachelor of Arts,PSYC,Psychological Sciences,LA,College Letters Arts Sciences,HDFS,Human Dev. and Family Studies
1039438,202150,UG,BS,Bachelor of Science,BU,College of Business,MGT,Management,MGT,Management,CERT,Certificate Program,MGT,Management,BU,College of Business,CEP,Certificate-Entrepreneurship
1039657,202150,UG,BS,Bachelor of Science,BU,College of Business,ACC,Accounting,ACC,Accounting,MPACC,Master of Prof Accountancy,ACC,Accounting,BU,College of Business,ACCM,Professional Accountancy
1040276,202150,GR,MS,Master of Science,HS,College of Health and Applied Science,HSC,Human Services and Counseling,BHAM,Clinical Behavioral Health,BS,Bachelor of Science,IDPP,Collg of Professional Std IDP,PS,College of Health and Applied Science,IDP,Individualized Degree Program
1040567,202150,UG,BA,Bachelor of Arts,LA,College Letters Arts Sciences,PSYC,Psychological Sciences,HDV,Human Development,BS,Bachelor of Science,HEP,Health Professions,HS,College of Health and Applied Science,IHC,Integrative Health Care
1040992,202150,UG,BA,Bachelor of Arts,LA,College Letters Arts Sciences,ART,Art,ART,Art,CERT,Certificate Program,MDL,Modern Languages,LA,College Letters Arts Sciences,CST,Certificate-Span Transltn Prog
1041510,202150,UG,BS,Bachelor of Science,HS,College of Health and Applied Science,CS,Computer Sciences,CS,Computer Science,BA,Bachelor of Arts,THAD,Theatre and Dance,LA,College Letters Arts Sciences,THE,Theatre
1041885,202150,UG,BA,Bachelor of Arts,LA,College Letters Arts Sciences,AFS,Africana Studies,AFS,Africana Studies,BA,Bachelor of Arts,PSYC,Psychological Sciences,LA,College Letters Arts Sciences,HDFS,Human Dev. and Family Studies
1041895,202150,GR,MPACC,Master of Prof Accountancy,BU,College of Business,ACC,Accounting,ACCM,Professional Accountancy,BS,Bachelor of Science,ACC,Accounting,BU,College of Business,ACC,Accounting
1042864,202150,UG,BS,Bachelor of Science,HS,College of Health and Applied Science,EAET,Engineering & Engineering Tech,MET,Mechanical Engineering Tech,CERT,Certificate Program,EAET,Engineering & Engineering Tech,HS,College of Health and Applied Science,CAME,Certificate-AdditiveMfgEngneer
1043217,202150,GR,MHA,Master of Health Admin,HS,College of Health and Applied Science,HEP,Health Professions,HCMM,Health Administration,BS,Bachelor of Science,HEP,Health Professions,PS,College of Health and Applied Science,HCPS,Health Care Professional Srvcs
1043302,202150,GR,MHA,Master of Health Admin,HS,College of Health and Applied Science,HEP,Health Professions,HCMM,Health Administration,BS,Bachelor of Science,HEP,Health Professions,PS,College of Health and Applied Science,HCM,Health Care Management
1043792,202150,GR,MSW,Master of Social Work,HS,College of Health and Applied Science,SWK,Social Work,SWMO,Social Work - MSW,BS,Bachelor of Science,SWK,Social Work,PS,College of Health and Applied Science,SWKO,Social Work
1044124,202150,UG,BS,Bachelor of Science,HS,College of Health and Applied Science,AVS,Aviation & Aerospace Science,ASC,Aviation and Aerospace Science,CERT,Certificate Program,AVS,Aviation & Aerospace Science,HS,College of Health and Applied Science,CAMG,Certificate-Airport Management
1044426,202150,GR,MSW,Master of Social Work,HS,College of Health and Applied Science,SWK,Social Work,SWKM,Social Work - MSW,BS,Bachelor of Science,SWK,Social Work,PS,College of Health and Applied Science,SWK,Social Work
1045233,202150,GR,MSW,Master of Social Work,HS,College of Health and Applied Science,SWK,Social Work,SWKM,Social Work - MSW,BS,Bachelor of Science,SWK,Social Work,LA,College Letters Arts Sciences,SWK,Social Work
1046369,202150,GR,MSW,Master of Social Work,HS,College of Health and Applied Science,SWK,Social Work,SWKM,Social Work - MSW,BS,Bachelor of Science,SWK,Social Work,PS,College of Health and Applied Science,SWK,Social Work
1048174,202150,UG,BS,Bachelor of Science,SH,School of Hospitality,HTL,DimondDeptHotelMgmt,TTM,Travel and Tourism Management,CERT,Certificate Program,MDL,Modern Languages,LA,College Letters Arts Sciences,CST,Certificate-Span Transltn Prog
1048938,202150,GR,MBA,Master of Business Admin,BU,College of Business,BUS,College of Business,BUSM,Business Administration,BS,Bachelor of Science,MGT,Management,BU,College of Business,MGT,Management
